Cohort,Records,With missing primary input,Complete controls,Subset: incomplete records differing,Subset: max absolute probability difference,Subset: mean action-band changes,Singleton: incomplete records differing,Singleton: max absolute probability difference,Singleton: mean action-band changes,Complete records moving unexpectedly,Row-order sensitivity,Fixed-seed repeatability
Internal hold-out,97,45,52,28/45,0.014,1,45/45,0.02,1,0,None detected,Exact
Prospective,85,10,75,6/10,0.009,1,10/10,0.014,1,0,None detected,Exact
