Cohort,n (events),Average precision (AP; 95% CI),AUC-ROC (95% CI),Brier score (95% CI),Calibration slope (95% CI),Calibration intercept (95% CI),"Discharge, p<0.29",Discharge NPV (95% CI),Discharge sensitivity (95% CI),"Reassess, 0.29≤p<0.69","MRI referral, p≥0.69",Referral PPV (95% CI),Referral specificity (95% CI)
Internal hold-out,97 (25),0.828 (0.710 to 0.931),0.909 (0.834 to 0.966),0.126 (0.099 to 0.157),1.923 (1.340 to 3.382),-0.667 (-1.412 to -0.260),49/97 (50.5%); 2 injuries,0.959 (0.860 to 0.995),0.920 (0.740 to 0.990),37/97 (38.1%); 12 injuries,11/97 (11.3%); 11 injuries,1.000 (0.715 to 1.000),1.000 (0.950 to 1.000)
Prospective,85 (18),0.441 (0.310 to 0.644),0.744 (0.625 to 0.847),0.274 (0.237 to 0.306),1.694 (0.955 to 3.308),-2.229 (-3.588 to -1.734),12/85 (14.1%); 0 injuries,1.000 (0.735 to 1.000),1.000 (0.815 to 1.000),46/85 (54.1%); 9 injuries,27/85 (31.8%); 9 injuries,0.333 (0.165 to 0.540),0.731 (0.609 to 0.832)
