dataset,n_patients,n_band_unstable,fraction_band_unstable,n_band_unstable_with_injury,n_ever_green,n_ever_red,n_injury_ever_green,max_probability_range,median_probability_sd
holdout,97,4,0.0412371134020618,2,51,13,3,0.0507711622186513,6.225035101174669e-15
prospective,85,1,0.0117647058823529,0,12,27,0,0.0285091997806558,3.0013562094949297e-15
